ID,recency,frequency,monetary,r_score,f_score,m_score,segment
1377,24,10,285,4,3,3,Loyal
454,48,26,1135,3,5,4,Needs Attention
1755,93,6,114,1,2,2,Hibernating
2075,56,15,1047,3,3,4,Needs Attention
4785,3,20,714,5,4,4,Champions
9076,44,9,185,3,3,2,Needs Attention
7079,38,27,1245,4,5,5,Champions
4653,46,8,189,3,2,2,Needs Attention
7375,84,14,576,1,3,3,Hibernating
709,27,15,1103,4,3,4,Loyal
460,72,16,1753,2,4,5,At Risk
3726,66,3,17,2,1,1,Hibernating
6798,30,14,433,4,3,3,Loyal
5341,2,13,1588,5,3,5,Loyal
1606,65,3,22,2,1,1,Hibernating
9617,37,4,19,4,1,1,New / Promising
3233,89,26,1117,1,5,4,At Risk
89,49,6,69,3,2,2,Needs Attention
2936,46,4,23,3,1,1,Needs Attention
9449,32,18,605,4,4,3,Loyal
7297,54,7,57,3,2,2,Needs Attention
11004,23,3,22,4,1,1,New / Promising
313,98,21,2088,1,5,5,At Risk
9940,97,14,1009,1,3,4,Can't Lose Them
10735,75,4,26,2,1,1,Hibernating
9529,8,21,1627,5,5,5,Champions
6439,37,24,1102,4,5,4,Champions
7411,31,4,17,4,1,1,New / Promising
2176,40,14,1690,3,3,5,Needs Attention
9265,74,19,1390,2,4,5,At Risk
8867,90,19,2126,1,4,5,At Risk
8932,57,21,1531,3,5,5,Needs Attention
10236,59,5,64,2,1,2,Hibernating
6340,52,4,26,3,1,1,Needs Attention
10089,5,28,1112,5,5,4,Champions
2227,92,9,210,1,3,3,Hibernating
10992,77,21,1148,2,5,4,At Risk
5304,35,4,33,4,1,1,New / Promising
309,48,16,1101,3,4,4,Needs Attention
3406,97,12,322,1,3,3,Hibernating
2661,95,6,44,1,2,1,Hibernating
3153,24,3,17,4,1,1,New / Promising
10264,60,4,31,2,1,1,Hibernating
1184,46,22,845,3,5,4,Needs Attention
4200,85,11,275,1,3,3,Hibernating
9396,31,3,25,4,1,1,New / Promising
2387,9,11,275,5,3,3,Loyal
6690,30,7,90,4,2,2,New / Promising
1225,47,18,1495,3,4,5,Needs Attention
9703,70,7,184,2,2,2,Hibernating
291,13,12,981,5,3,4,Loyal
4557,11,6,67,5,2,2,New / Promising
2379,31,12,1635,4,3,5,Loyal
5726,15,7,60,5,2,2,New / Promising
3066,2,10,231,5,3,3,Loyal
6336,55,6,48,3,2,1,Needs Attention
10967,38,6,99,4,2,2,New / Promising
2304,86,21,770,1,5,4,At Risk
3445,56,21,957,3,5,4,Needs Attention
7828,29,11,818,4,3,4,Loyal
3762,30,16,925,4,4,4,Champions
4391,64,21,908,2,5,4,At Risk
4669,46,7,102,3,2,2,Needs Attention
10144,84,14,576,1,3,3,Hibernating
8652,20,11,317,4,3,3,Loyal
1672,74,14,461,2,3,3,Hibernating
8962,18,5,37,5,1,1,New / Promising
9974,75,6,70,2,2,2,Hibernating
10983,17,22,930,5,5,4,Champions
8148,88,20,859,1,4,4,At Risk
10102,19,21,1478,5,5,5,Champions
4697,62,13,390,2,3,3,Hibernating
9262,11,4,52,5,1,1,New / Promising
7254,74,7,137,2,2,2,Hibernating
4543,32,18,1919,4,4,5,Champions
4927,76,6,68,2,2,2,Hibernating
10451,6,3,25,5,1,1,New / Promising
2926,62,20,1374,2,4,5,At Risk
2874,20,4,32,4,1,1,New / Promising
9738,43,6,100,3,2,2,Needs Attention
7119,45,11,825,3,3,4,Needs Attention
3924,34,23,916,4,5,4,Champions
5827,53,7,62,3,2,2,Needs Attention
5596,44,20,728,3,4,4,Needs Attention
10812,89,6,90,1,2,2,Hibernating
1717,43,10,273,3,3,3,Needs Attention
9491,68,7,66,2,2,2,Hibernating
9274,44,22,1213,3,5,5,Needs Attention
6609,64,6,107,2,2,2,Hibernating
6963,85,17,1157,1,4,4,At Risk
4440,93,17,546,1,4,3,At Risk
1379,12,10,241,5,3,3,Loyal
10032,86,7,53,1,2,1,Hibernating
2826,28,5,37,4,1,1,New / Promising
2437,69,23,1611,2,5,5,At Risk
6320,42,22,1508,3,5,5,Needs Attention
3050,13,10,235,5,3,3,Loyal
231,86,5,32,1,1,1,Hibernating
2392,59,6,102,2,2,2,Hibernating
9478,30,13,401,4,3,3,Loyal
113,33,4,28,4,1,1,New / Promising
2863,67,15,1052,2,3,4,Can't Lose Them
1802,23,18,680,4,4,4,Champions
520,81,3,30,1,1,1,Hibernating
8275,6,3,20,5,1,1,New / Promising
9750,41,18,1307,3,4,5,Needs Attention
2607,78,18,630,2,4,3,At Risk
7214,49,17,1283,3,4,5,Needs Attention
5835,39,6,65,4,2,2,New / Promising
3896,3,4,37,5,1,1,New / Promising
10350,37,4,38,4,1,1,New / Promising
7786,22,8,160,4,2,2,New / Promising
2861,79,3,23,2,1,1,Hibernating
663,46,5,71,3,1,2,Needs Attention
10675,82,17,1161,1,4,4,At Risk
2521,10,4,59,5,1,2,New / Promising
9592,51,5,33,3,1,1,Needs Attention
10151,38,21,946,4,5,4,Champions
7381,10,21,1442,5,5,5,Champions
4099,14,4,62,5,1,2,New / Promising
9560,18,21,1674,5,5,5,Champions
1150,36,14,1853,4,3,5,Loyal
10172,95,20,1538,1,4,5,At Risk
11191,11,7,139,5,2,2,New / Promising
9707,65,17,1182,2,4,5,At Risk
6245,71,16,507,2,4,3,At Risk
8234,13,3,18,5,1,1,New / Promising
1411,58,15,940,3,3,4,Needs Attention
8553,65,4,42,2,1,1,Hibernating
1826,0,14,1190,5,3,5,Loyal
8842,33,5,44,4,1,1,New / Promising
11030,90,3,16,1,1,1,Hibernating
2579,95,22,835,1,5,4,At Risk
175,93,20,1443,1,4,5,At Risk
9185,38,15,1029,4,3,4,Loyal
11056,18,17,1188,5,4,5,Champions
9365,57,19,1277,3,4,5,Needs Attention
6201,45,5,49,3,1,1,Needs Attention
2061,61,6,99,2,2,2,Hibernating
6184,6,14,1670,5,3,5,Loyal
6142,65,13,900,2,3,4,Can't Lose Them
4107,52,14,425,3,3,3,Needs Attention
7274,87,21,2153,1,5,5,At Risk
9336,38,18,636,4,4,4,Champions
2958,53,7,57,3,2,2,Needs Attention
933,31,3,25,4,1,1,New / Promising
5837,67,15,494,2,3,3,Hibernating
10704,65,17,693,2,4,4,At Risk
5125,64,25,1348,2,5,5,At Risk
4432,82,5,51,1,1,1,Hibernating
5955,27,15,1932,4,3,5,Loyal
2928,63,14,990,2,3,4,Can't Lose Them
5680,66,4,30,2,1,1,Hibernating
10313,69,10,254,2,3,3,Hibernating
2557,52,4,29,3,1,1,Needs Attention
1245,45,19,1371,3,4,5,Needs Attention
1519,2,6,73,5,2,2,New / Promising
10703,86,7,120,1,2,2,Hibernating
1726,23,4,81,4,1,2,New / Promising
4459,13,4,37,5,1,1,New / Promising
1729,14,18,1377,5,4,5,Champions
1517,92,4,51,1,1,1,Hibernating
2098,38,3,17,4,1,1,New / Promising
9543,74,3,22,2,1,1,Hibernating
6878,14,11,324,5,3,3,Loyal
3310,94,9,211,1,3,3,Hibernating
2724,33,3,19,4,1,1,New / Promising
948,32,5,41,4,1,1,New / Promising
6720,11,14,492,5,3,3,Loyal
6202,78,22,1005,2,5,4,At Risk
2066,56,6,114,3,2,2,Needs Attention
9799,57,16,1173,3,4,4,Needs Attention
8318,7,19,1738,5,4,5,Champions
5642,0,10,222,5,3,3,Loyal
2669,66,15,1127,2,3,4,Can't Lose Them
455,86,9,209,1,3,3,Hibernating
7683,80,20,787,1,4,4,At Risk
3428,56,23,1598,3,5,5,Needs Attention
7414,18,8,186,5,2,2,New / Promising
6354,51,4,47,3,1,1,Needs Attention
798,71,4,27,2,1,1,Hibernating
8213,71,7,96,2,2,2,Hibernating
2488,80,6,64,1,2,2,Hibernating
9999,2,22,1040,5,5,4,Champions
7617,83,8,163,1,2,2,Hibernating
615,29,10,343,4,3,3,Loyal
2552,11,15,446,5,3,3,Loyal
194,55,4,41,3,1,1,Needs Attention
3645,19,6,70,5,2,2,New / Promising
8890,1,11,272,5,3,3,Loyal
5049,19,5,46,5,1,1,New / Promising
9973,28,16,490,4,4,3,Loyal
7301,76,6,79,2,2,2,Hibernating
10882,50,13,915,3,3,4,Needs Attention
7030,1,32,1485,5,5,5,Champions
7422,90,13,369,1,3,3,Hibernating
3523,83,17,1073,1,4,4,At Risk
7106,73,18,1242,2,4,5,At Risk
6504,24,6,78,4,2,2,New / Promising
5067,11,20,1378,5,4,5,Champions
4216,33,25,1474,4,5,5,Champions
8581,4,20,751,5,4,4,Champions
5929,14,5,48,5,1,1,New / Promising
3129,30,5,45,4,1,1,New / Promising
6528,75,3,10,2,1,1,Hibernating
1361,26,15,1435,4,3,5,Loyal
6932,77,22,2119,2,5,5,At Risk
7284,8,3,20,5,1,1,New / Promising
1340,42,26,1795,3,5,5,Needs Attention
8746,28,17,1188,4,4,5,Champions
5987,52,5,43,3,1,1,Needs Attention
3767,1,22,1008,5,5,4,Champions
3725,1,15,1688,5,3,5,Loyal
4324,42,16,684,3,4,4,Needs Attention
238,76,24,1082,2,5,4,At Risk
6694,27,24,1068,4,5,4,Champions
498,28,5,57,4,1,2,New / Promising
9347,49,4,46,3,1,1,Needs Attention
9699,12,20,733,5,4,4,Champions
10664,14,15,467,5,3,3,Loyal
5455,89,7,122,1,2,2,Hibernating
456,96,5,36,1,1,1,Hibernating
5012,56,4,34,3,1,1,Needs Attention
7495,72,8,156,2,2,2,Hibernating
5029,14,3,14,5,1,1,New / Promising
10642,13,4,37,5,1,1,New / Promising
2106,99,4,34,1,1,1,Hibernating
10364,72,3,20,2,1,1,Hibernating
5954,92,9,192,1,3,2,Hibernating
1137,87,16,1379,1,4,5,At Risk
2541,7,5,48,5,1,1,New / Promising
1142,91,14,428,1,3,3,Hibernating
2276,71,22,868,2,5,4,At Risk
2807,24,24,1001,4,5,4,Champions
6471,17,6,59,5,2,2,New / Promising
6131,87,14,431,1,3,3,Hibernating
6233,21,24,971,4,5,4,Champions
4148,90,12,348,1,3,3,Hibernating
4947,44,23,2059,3,5,5,Needs Attention
3225,71,10,265,2,3,3,Hibernating
7540,52,11,270,3,3,3,Needs Attention
10648,78,18,1289,2,4,5,At Risk
1992,2,12,893,5,3,4,Loyal
7851,60,21,926,2,5,4,At Risk
8594,25,7,135,4,2,2,New / Promising
7059,47,18,1495,3,4,5,Needs Attention
2815,46,7,120,3,2,2,Needs Attention
2416,83,19,1288,1,4,5,At Risk
7999,17,16,1743,5,4,5,Champions
9213,13,3,15,5,1,1,New / Promising
9697,86,17,542,1,4,3,At Risk
3916,92,22,890,1,5,4,At Risk
2021,47,29,1388,3,5,5,Needs Attention
1581,18,3,17,5,1,1,New / Promising
564,81,23,906,1,5,4,At Risk
6619,91,4,44,1,1,1,Hibernating
9081,58,4,25,3,1,1,Needs Attention
178,40,22,973,3,5,4,Needs Attention
916,67,4,31,2,1,1,Hibernating
5512,19,16,518,5,4,3,Loyal
8970,93,15,530,1,3,3,Hibernating
10581,41,14,506,3,3,3,Needs Attention
5300,60,5,70,2,1,2,Hibernating
5154,54,5,54,3,1,1,Needs Attention
8346,26,10,296,4,3,3,Loyal
1676,30,11,266,4,3,3,Loyal
9286,93,18,747,1,4,4,At Risk
2426,35,28,895,4,5,4,Champions
5172,4,15,1053,5,3,4,Loyal
5562,92,19,735,1,4,4,At Risk
3436,24,4,20,4,1,1,New / Promising
3921,96,9,205,1,3,3,Hibernating
3403,11,19,2092,5,4,5,Champions
22,99,12,309,1,3,3,Hibernating
10965,72,21,1722,2,5,5,At Risk
9426,77,11,900,2,3,4,Can't Lose Them
6605,85,19,682,1,4,4,At Risk
3136,88,19,663,1,4,4,At Risk
8737,22,5,43,4,1,1,New / Promising
11088,83,17,1816,1,4,5,At Risk
716,63,24,976,2,5,4,At Risk
466,9,20,746,5,4,4,Champions
9135,92,4,64,1,1,2,Hibernating
10623,2,4,32,5,1,1,New / Promising
8151,6,8,263,5,2,3,New / Promising
5140,66,19,1445,2,4,5,At Risk
10160,49,4,46,3,1,1,Needs Attention
4945,29,26,1210,4,5,5,Champions
10584,77,23,945,2,5,4,At Risk
6071,77,21,1157,2,5,4,At Risk
3386,71,7,137,2,2,2,Hibernating
8939,49,19,730,3,4,4,Needs Attention
9925,97,9,216,1,3,3,Hibernating
4320,6,22,943,5,5,4,Champions
5389,93,13,347,1,3,3,Hibernating
6036,78,18,1924,2,4,5,At Risk
182,62,13,397,2,3,3,Hibernating
203,47,21,2089,3,5,5,Needs Attention
11025,9,7,138,5,2,2,New / Promising
10203,77,4,42,2,1,1,Hibernating
4607,24,16,777,4,4,4,Champions
3711,19,19,1902,5,4,5,Champions
3696,67,5,52,2,1,1,Hibernating
2532,95,12,1651,1,3,5,Can't Lose Them
9214,48,12,358,3,3,3,Needs Attention
4943,73,15,1727,2,3,5,Can't Lose Them
35,35,7,210,4,2,3,New / Promising
2258,76,4,42,2,1,1,Hibernating
4322,20,19,1291,4,4,5,Champions
713,72,14,442,2,3,3,Hibernating
4702,20,16,1895,4,4,5,Champions
3281,69,13,411,2,3,3,Hibernating
702,80,15,521,1,3,3,Hibernating
2004,65,16,1168,2,4,4,At Risk
4769,52,16,493,3,4,3,Needs Attention
4437,65,10,260,2,3,3,Hibernating
8724,57,5,46,3,1,1,Needs Attention
10741,70,12,319,2,3,3,Hibernating
1991,0,6,96,5,2,2,New / Promising
6931,19,15,1062,5,3,4,Loyal
11096,50,10,232,3,3,3,Needs Attention
304,67,6,76,2,2,2,Hibernating
3665,46,6,54,3,2,1,Needs Attention
10591,37,9,201,4,3,3,Loyal
5036,38,12,406,4,3,3,Loyal
5547,9,19,1919,5,4,5,Champions
7822,56,18,662,3,4,4,Needs Attention
8541,98,6,41,1,2,1,Hibernating
10955,68,13,1600,2,3,5,Can't Lose Them
4368,72,7,134,2,2,2,Hibernating
9671,47,6,69,3,2,2,Needs Attention
2256,33,4,21,4,1,1,New / Promising
4279,87,5,54,1,1,1,Hibernating
5371,0,6,91,5,2,2,New / Promising
9240,73,16,526,2,4,3,At Risk
9460,74,7,162,2,2,2,Hibernating
9504,4,24,1008,5,5,4,Champions
8692,50,10,240,3,3,3,Needs Attention
448,57,19,795,3,4,4,Needs Attention
8314,30,18,1772,4,4,5,Champions
8420,27,6,64,4,2,2,New / Promising
3174,61,19,1957,2,4,5,At Risk
7685,4,6,78,5,2,2,New / Promising
3179,75,19,1572,2,4,5,At Risk
9780,12,24,795,5,5,4,Champions
10681,13,21,889,5,5,4,Champions
10232,9,12,331,5,3,3,Loyal
4184,48,10,265,3,3,3,Needs Attention
9120,80,15,1065,1,3,4,Can't Lose Them
891,60,3,11,2,1,1,Hibernating
10381,43,3,21,3,1,1,Needs Attention
3525,19,3,17,5,1,1,New / Promising
6818,26,11,369,4,3,3,Loyal
3526,58,4,38,3,1,1,Needs Attention
8181,42,8,177,3,2,2,Needs Attention
1029,27,11,279,4,3,3,Loyal
7369,56,5,62,3,1,2,Needs Attention
2574,27,18,1230,4,4,5,Champions
8159,10,8,182,5,2,2,New / Promising
1160,48,6,49,3,2,1,Needs Attention
10242,39,6,75,4,2,2,New / Promising
5253,85,10,227,1,3,3,Hibernating
5966,64,10,215,2,3,3,Hibernating
5314,69,13,444,2,3,3,Hibernating
5081,54,4,47,3,1,1,Needs Attention
5123,57,6,143,3,2,2,Needs Attention
5756,64,5,55,2,1,1,Hibernating
8036,10,7,63,5,2,2,New / Promising
9058,65,21,1867,2,5,5,At Risk
5057,74,18,611,2,4,3,At Risk
254,4,15,473,5,3,3,Loyal
4179,94,5,55,1,1,1,Hibernating
3710,41,5,81,3,1,2,Needs Attention
7627,25,21,2086,4,5,5,Champions
4501,94,19,1478,1,4,5,At Risk
6424,9,4,49,5,1,1,New / Promising
3075,47,14,382,3,3,3,Needs Attention
4992,12,6,69,5,2,2,New / Promising
5252,80,5,67,1,1,2,Hibernating
7444,20,4,30,4,1,1,New / Promising
6919,39,6,63,4,2,2,New / Promising
3537,57,7,79,3,2,2,Needs Attention
10277,27,4,42,4,1,1,New / Promising
2453,83,20,819,1,4,4,At Risk
7972,79,16,1151,2,4,4,At Risk
895,69,17,594,2,4,3,At Risk
1177,77,7,129,2,2,2,Hibernating
7141,15,8,213,5,2,3,New / Promising
7232,99,5,67,1,1,2,Hibernating
8477,61,4,28,2,1,1,Hibernating
2457,23,4,45,4,1,1,New / Promising
988,84,17,1193,1,4,5,At Risk
7930,74,10,268,2,3,3,Hibernating
4587,90,11,266,1,3,3,Hibernating
6682,41,4,37,3,1,1,Needs Attention
6222,28,5,37,4,1,1,New / Promising
10299,73,22,882,2,5,4,At Risk
3083,88,13,373,1,3,3,Hibernating
8953,94,4,35,1,1,1,Hibernating
1503,31,1,107,4,1,2,New / Promising
8650,31,4,42,4,1,1,New / Promising
10862,6,12,326,5,3,3,Loyal
2782,23,14,404,4,3,3,Loyal
6941,92,5,95,1,1,2,Hibernating
10972,52,13,939,3,3,4,Needs Attention
10708,50,4,33,3,1,1,Needs Attention
6583,54,20,981,3,4,4,Needs Attention
3641,93,5,36,1,1,1,Hibernating
10156,56,19,1237,3,4,5,Needs Attention
4299,28,27,1825,4,5,5,Champions
3469,94,6,103,1,2,2,Hibernating
5063,76,9,191,2,3,2,Hibernating
10727,43,23,1586,3,5,5,Needs Attention
9624,46,13,963,3,3,4,Needs Attention
5156,13,21,889,5,5,4,Champions
4376,27,6,93,4,2,2,New / Promising
8923,12,20,1587,5,4,5,Champions
8461,3,3,16,5,1,1,New / Promising
6945,72,31,1375,2,5,5,At Risk
944,6,13,393,5,3,3,Loyal
1907,53,21,1477,3,5,5,Needs Attention
701,58,16,1179,3,4,5,Needs Attention
3856,78,22,1005,2,5,4,At Risk
4149,57,20,1348,3,4,5,Needs Attention
2131,37,19,1307,4,4,5,Champions
2942,20,13,486,4,3,3,Loyal
1173,73,12,2252,2,3,5,Can't Lose Them
4381,56,10,235,3,3,3,Needs Attention
4611,36,30,1724,4,5,5,Champions
3376,9,10,235,5,3,3,Loyal
4679,42,25,1092,3,5,4,Needs Attention
10928,28,15,599,4,3,3,Loyal
4248,23,19,2008,4,4,5,Champions
6728,38,4,48,4,1,1,New / Promising
6661,63,27,1174,2,5,4,At Risk
4725,71,6,67,2,2,2,Hibernating
3277,9,13,365,5,3,3,Loyal
5555,81,0,6,1,1,1,Hibernating
2564,87,8,165,1,2,2,Hibernating
946,92,9,210,1,3,3,Hibernating
3867,36,25,1095,4,5,4,Champions
6940,86,8,223,1,2,3,Hibernating
55,83,18,597,1,4,3,At Risk
7093,74,3,22,2,1,1,Hibernating
5084,87,23,1064,1,5,4,At Risk
1777,29,5,74,4,1,2,New / Promising
8162,88,4,26,1,1,1,Hibernating
